"tokenID","name","description","file_name","animation_url","external_url","attributes[Primary Background]","attributes[Secondary Background]","attributes[Skin Tone]","attributes[Archetype Base]","attributes[Gender]","attributes[Headwear]","attributes[Eyewear]","attributes[Facial Hair]","attributes[Lip Color]","attributes[Earring Set]","attributes[Neckwear]","attributes[Mouth Accessory]","attributes[Primary Clothing]","attributes[Secondary Clothing]","attributes[Primary Watch]","attributes[Secondary Watch]","attributes[Hand Interaction]","attributes[Mental Activity]","attributes[Tier]"
"1","The Matrix Alien (1/1)","A high-end collection of luxury cybernetic punks with metallic assets.","images/1.svg","https://amormesbahi.github.io/luxury-punks-anim/html/1.html","https://amormesbahi.github.io/luxury-punks-anim/html/1.html","Cyber Grid #2","Slate Particles","Alien Indigo","Alien Profile","male","Bleached Blond Spikes","LEGENDARY: Shifting Prism HUD (Animated)","Clean Shaven","None","None","Silver Dogtags","None","Camo Hoodie","Brick Domino Prototype","LEGENDARY: Celestial Chrono","Royal Octagon","Hand Shake","Active Smoker & Blinking","Legendary"
"2","Cyber Ape #000 (1/1)","A high-end collection of luxury cybernetic punks with metallic assets.","images/2.svg","https://amormesbahi.github.io/luxury-punks-anim/html/2.html","https://amormesbahi.github.io/luxury-punks-anim/html/2.html","Golden Horizon #3","Lime Scanline","Ape Gold","Heavy Ape Profile","male","None","None","Full Bushy Beard","None","Gold Hoop","Gold Thick Chain","LEGENDARY: Chronos Time-Shift (Animated)","Silk Shirt","Glass Fiber Chrome","LEGENDARY: Nebula GMT","Random Custom Watch","Peace Sign","Suspicious Squint","Legendary"
"3","Neuromancer Architect (1/1)","A high-end collection of luxury cybernetic punks with metallic assets.","images/3.svg","https://amormesbahi.github.io/luxury-punks-anim/html/3.html","https://amormesbahi.github.io/luxury-punks-anim/html/3.html","Deep Sea Abyss #4","Amber Matrix","Holographic Iridescent","Sharp Angular Female","female","Side Ponytail","LEGENDARY: Rainbow Neural Link (Animated)","None","Neon Cyan Lips","Diamond Stud","Black Choker","None","Business Suit","Silk Kimono","LEGENDARY: Hyperion Phase","Luxury Gold Watch","Thumb Up","Scanning Cyber Laser","Legendary"
"4","The Gilded Sovereign (1/1)","A high-end collection of luxury cybernetic punks with metallic assets.","images/4.svg","https://amormesbahi.github.io/luxury-punks-anim/html/4.html","https://amormesbahi.github.io/luxury-punks-anim/html/4.html","Emerald Glade #5","Cyan Static","Pure Gold Leaf","Heavy Ape Profile","male","Diamond Crown","None","Gold Trim Beard","Gold Plated Lips","Diamond Stud","Triple Stack Gold","LEGENDARY: Singularity Core (Animated)","Royal Suit","Leather Muscle Neon Cyan","LEGENDARY: Quantum Skeleton","Cyber Holograph","Pointing Hand","Suspicious Squint","Legendary"
"5","The Neon Ghost (1/1)","A high-end collection of luxury cybernetic punks with metallic assets.","images/5.svg","https://amormesbahi.github.io/luxury-punks-anim/html/5.html","https://amormesbahi.github.io/luxury-punks-anim/html/5.html","Crimson Eclipse #6","Amber Glitch","Glitch Transparent","Alien Profile","male","Cyber Halo","None","Clean Shaven","Neon Cyan Lips","Neon Ring","Neon LED Collar","None","Holographic Tuxedo","Golden Hoodie","LEGENDARY: Obsidian Sun","Retro Digital Steel","Pointing Hand","Scanning Cyber Laser","Legendary"
"6","The Galactic Empress (1/1)","A high-end collection of luxury cybernetic punks with metallic assets.","images/6.svg","https://amormesbahi.github.io/luxury-punks-anim/html/6.html","https://amormesbahi.github.io/luxury-punks-anim/html/6.html","Violet Spark #7","Orange Glitch","Obsidian Stardust","Sharp Angular Female","female","Diamond Halo","None","None","Diamond Studded Lips","Diamond Chandelier","Rainbow Animated Croissant","None","Velvet Gown","Red Leather Jacket","LEGENDARY: Diamond Vortex","Random Custom Watch","Pointing Hand","Pulsing Iris (Hypnotic)","Legendary"
"7","The Void Walker (1/1)","A high-end collection of luxury cybernetic punks with metallic assets.","images/7.svg","https://amormesbahi.github.io/luxury-punks-anim/html/7.html","https://amormesbahi.github.io/luxury-punks-anim/html/7.html","Slate Storm #8","Violet Particles","Shadow Matter","Heavy Ape Profile","male","None","LEGENDARY: Spectral Ghost View (Animated)","None","None","None","None","None","Silver Armor","Leather Muscle Chrome","LEGENDARY: Emerald Pulse","Luxury Gold Watch","Hand Shake","Rapid Eye Twitch","Legendary"
"8","The Plasma Overlord (1/1)","A high-end collection of luxury cybernetic punks with metallic assets.","images/8.svg","https://amormesbahi.github.io/luxury-punks-anim/html/8.html","https://amormesbahi.github.io/luxury-punks-anim/html/8.html","Neon Pulse #9","Amber Circuit","Molten Chrome","Alien Profile","male","None","None","None","None","None","None","LEGENDARY: Plasma Overlord Shield (Animated)","Brick Domino Elite","Gold Chainmail","LEGENDARY: Ruby Reactor","Oyster Professional","Peace Sign","Scanning Cyber Laser","Legendary"
"9","The Diamond Goddess (1/1)","A high-end collection of luxury cybernetic punks with metallic assets.","images/9.svg","https://amormesbahi.github.io/luxury-punks-anim/html/9.html","https://amormesbahi.github.io/luxury-punks-anim/html/9.html","Strobe Light #10","Amber Static","Diamond Crystal","Sharp Angular Female","female","Diamond Tiara","LEGENDARY: Prism Diamond Monocle","None","Diamond Studded Lips","Diamond Chandelier","Pearl Necklace","None","Neon Top","Nerdy Leather Punk","LEGENDARY: Sapphire Horizon","Royal Octagon","Thumb Up","Pulsing Iris (Hypnotic)","Legendary"
"10","The Phoenix Reborn (1/1)","A high-end collection of luxury cybernetic punks with metallic assets.","images/10.svg","https://amormesbahi.github.io/luxury-punks-anim/html/10.html","https://amormesbahi.github.io/luxury-punks-anim/html/10.html","Retro Wave #11","Lime Pulse","Eternal Flame","Alien Profile","male","None","None","None","None","None","None","LEGENDARY: Spectral Phoenix Mask","Bronze Chainmail","Winter Coat","LEGENDARY: Titan Forge","Random Custom Watch","Pointing Hand","Active Smoker & Blinking","Legendary"
"11","The Hyper-Infinity (1/1)","A high-end collection of luxury cybernetic punks with metallic assets.","images/11.svg","https://amormesbahi.github.io/luxury-punks-anim/html/11.html","https://amormesbahi.github.io/luxury-punks-anim/html/11.html","Cyber City #12","Magenta Pulse","Chromatic Metal","Heavy Ape Profile","male","None","LEGENDARY: Color-Shift Infinity (Animated)","None","None","None","None","None","Brick Domino White Marble","Leather Muscle Gold","LEGENDARY: Void Master","Oyster Professional","Peace Sign","Pulsing Iris (Hypnotic)","Legendary"
"12","Legendary Punk #12","A high-end collection of luxury cybernetic punks with metallic assets.","images/12.svg","https://amormesbahi.github.io/luxury-punks-anim/html/12.html","https://amormesbahi.github.io/luxury-punks-anim/html/12.html","Dark Matter #13","Rose Pulse","Liquid Mercury","Sharp Angular Female","female","Solar Crown","LEGENDARY: Shifting Prism HUD (Animated)","None","Neon Cyan Lips","Emerald Stud","Neon Onyx Gaiter","None","Blossom Lily Prototype","Nerdy Leather Crimson","LEGENDARY: Solar Flare","Retro Digital Steel","Thumb Up","Rapid Eye Twitch","Legendary"
"13","Legendary Punk #13","A high-end collection of luxury cybernetic punks with metallic assets.","images/13.svg","https://amormesbahi.github.io/luxury-punks-anim/html/13.html","https://amormesbahi.github.io/luxury-punks-anim/html/13.html","Supernova #14","Magenta Orbit","Emerald Dragon","Male Profile","male","Medusa Cables","None","Clean Shaven","None","None","Plasma Silver Chain","None","Pinstripe Suit","Raincoat","LEGENDARY: Lunar Cycle","Luxury Gold Watch","Pointing Hand","Rapid Eye Twitch","Legendary"
"14","Legendary Punk #14","A high-end collection of luxury cybernetic punks with metallic assets.","images/14.svg","https://amormesbahi.github.io/luxury-punks-anim/html/14.html","https://amormesbahi.github.io/luxury-punks-anim/html/14.html","Plasma Coil #15","Indigo Particles","Pure Gold","Alien Profile","male","Digital Horns","None","Shadow Beard","None","None","Pulsing Onyx Cord","Gold Filigree Breather","Leather Muscle Jungle","Tactical Jacket","LEGENDARY: Pulsar Prime","Retro Digital Steel","Pointing Hand","Static Punk","Legendary"
"15","Legendary Punk #15","A high-end collection of luxury cybernetic punks with metallic assets.","images/15.svg","https://amormesbahi.github.io/luxury-punks-anim/html/15.html","https://amormesbahi.github.io/luxury-punks-anim/html/15.html","Matrix Rain #16","Magenta Static","Emerald Dragon","Soft Female Profile","female","Legendary Spiky Hair","None","None","None","Diamond Chandelier","Crimson Velvet Wrap","None","Cyber Armor","Flannel Shirt","LEGENDARY: Quasar Core","Random Custom Watch","Peace Sign","Active Smoker & Blinking","Legendary"
"16","Legendary Punk #16","A high-end collection of luxury cybernetic punks with metallic assets.","images/16.svg","https://amormesbahi.github.io/luxury-punks-anim/html/16.html","https://amormesbahi.github.io/luxury-punks-anim/html/16.html","Digital Ghost #17","Sky Grid","Emerald Dragon","Soft Female Profile","female","LEGENDARY: Ethereal Floating Leafs","None","None","Neon Cyan Lips","Diamond Stud","Neon Quantum Collar","Hyper-Drive Shield (Animated)","Mesh Crop Top","Camo Jacket","LEGENDARY: Singularity","Luxury Gold Watch","Thumb Up","Active Smoker & Blinking","Legendary"
"17","Legendary Punk #17","A high-end collection of luxury cybernetic punks with metallic assets.","images/17.svg","https://amormesbahi.github.io/luxury-punks-anim/html/17.html","https://amormesbahi.github.io/luxury-punks-anim/html/17.html","Lava Flow #18","Lime Grid","Cosmic Galaxy","Alien Female Profile","female","LEGENDARY: Shifting Rainbow Matter","None","None","Ruby Red Lips","Gold Hoop","Plasma Cyber Disc","Carbon Fiber Mask","Business Suit","Camo Jacket","LEGENDARY: Event Horizon","Luxury Gold Watch","Thumb Up","Static Punk","Legendary"
"18","Legendary Punk #18","A high-end collection of luxury cybernetic punks with metallic assets.","images/18.svg","https://amormesbahi.github.io/luxury-punks-anim/html/18.html","https://amormesbahi.github.io/luxury-punks-anim/html/18.html","Ice Shield #19","Orange Pulse","Emerald Dragon","Soft Female Profile","female","Digital Horns","None","None","Dark Purple Lips","None","Holographic Diamond Tie","Lime Glow Guard","Neon Dress","Nerdy Leather Rainbow","LEGENDARY: Dark Matter","Random Custom Watch","Hand Shake","Active Smoker & Blinking","Legendary"
"19","Legendary Punk #19","A high-end collection of luxury cybernetic punks with metallic assets.","images/19.svg","https://amormesbahi.github.io/luxury-punks-anim/html/19.html","https://amormesbahi.github.io/luxury-punks-anim/html/19.html","Prism Light #20","Amber Wave","Diamond Crystal","Alien Female Profile","female","Medusa Cables","None","None","None","Emerald Stud","Holographic Sapphire Tie","None","Camo Jacket","Raincoat","LEGENDARY: Antimatter","Luxury Gold Watch","Pointing Hand","Pulsing Iris (Hypnotic)","Legendary"
"20","Legendary Punk #20","A high-end collection of luxury cybernetic punks with metallic assets.","images/20.svg","https://amormesbahi.github.io/luxury-punks-anim/html/20.html","https://amormesbahi.github.io/luxury-punks-anim/html/20.html","Toxic Gas #21","Magenta Static","Liquid Mercury","Soft Female Profile","female","Digital Horns","LEGENDARY: Neon Lazer Rayons (Animated)","None","None","Gold Hoop","Holographic Band","Radiant Sun Breather (Animated)","Flannel Shirt","Silk Kimono","LEGENDARY: Plasma Engine","Royal Octagon","Peace Sign","Suspicious Squint","Legendary"
"21","Legendary Punk #21","A high-end collection of luxury cybernetic punks with metallic assets.","images/21.svg","https://amormesbahi.github.io/luxury-punks-anim/html/21.html","https://amormesbahi.github.io/luxury-punks-anim/html/21.html","Static Noise #22","Orange Matrix","Pure Gold","Alien Profile","male","Digital Horns","None","Gold Trim Beard","None","Diamond Stud","Onyx Collar","None","Techwear Jacket","Silk Shirt","LEGENDARY: Fusion Heart","Random Custom Watch","Pointing Hand","Pulsing Iris (Hypnotic)","Legendary"
"22","Legendary Punk #22","A high-end collection of luxury cybernetic punks with metallic assets.","images/22.svg","https://amormesbahi.github.io/luxury-punks-anim/html/22.html","https://amormesbahi.github.io/luxury-punks-anim/html/22.html","Warp Speed #23","Orange Particles","Shadow Matter","Soft Female Profile","female","Medusa Cables","LEGENDARY: Plasma Storm Shield (Animated)","None","None","None","Platinum Heavy Link","Neon Lazer Rayon (Animated)","Silk Kimono","None","LEGENDARY: Kinetic Burst","Retro Digital Steel","Hand Shake","Static Punk","Legendary"
"23","Legendary Punk #23","A high-end collection of luxury cybernetic punks with metallic assets.","images/23.svg","https://amormesbahi.github.io/luxury-punks-anim/html/23.html","https://amormesbahi.github.io/luxury-punks-anim/html/23.html","Meteor Shower #24","Lime Grid","Neon Skeleton","Male Profile","male","LEGENDARY: Live Bio-Spikes","None","Full Bushy Beard","None","Diamond Stud","Pulsing Cyber Croissant","None","Stealth Suit","Brick Domino Slate","LEGENDARY: Atomic Tick","Retro Digital Steel","Pointing Hand","Active Smoker & Blinking","Legendary"
"24","Legendary Punk #24","A high-end collection of luxury cybernetic punks with metallic assets.","images/24.svg","https://amormesbahi.github.io/luxury-punks-anim/html/24.html","https://amormesbahi.github.io/luxury-punks-anim/html/24.html","Black Hole #25","Lime Static","Emerald Dragon","Alien Profile","male","LEGENDARY: Ethereal Floating Leafs","None","Gold Trim Beard","None","None","Pulsing Obsidian Disc","None","Cyber Poncho","Bio-Suit","LEGENDARY: Molecular Gear","Retro Digital Steel","Hand Shake","Active Smoker & Blinking","Legendary"
"25","Legendary Punk #25","A high-end collection of luxury cybernetic punks with metallic assets.","images/25.svg","https://amormesbahi.github.io/luxury-punks-anim/html/25.html","https://amormesbahi.github.io/luxury-punks-anim/html/25.html","Zen Garden #26","Rose Particles","Liquid Mercury","Male Profile","male","LEGENDARY: Shifting Rainbow Matter","None","Chinstrap","None","None","Floating Chrome Pendant","None","Spiked Leather Jacket","Shadow Cloak","LEGENDARY: Nano Scale","Retro Digital Steel","Pointing Hand","Pulsing Iris (Hypnotic)","Legendary"
"26","Legendary Punk #26","A high-end collection of luxury cybernetic punks with metallic assets.","images/26.svg","https://amormesbahi.github.io/luxury-punks-anim/html/26.html","https://amormesbahi.github.io/luxury-punks-anim/html/26.html","Molten Core #27","Sky Matrix","Liquid Mercury","Male Profile","male","Medusa Cables","LEGENDARY: Galactic Orbit Lens (Animated)","Shadow Beard","None","Ruby Tear","Spiked Leather Choker","None","Neon Windbreaker","Shadow Cloak","LEGENDARY: Macro Frame","Oyster Professional","Thumb Up","Static Punk","Legendary"
"27","Legendary Punk #27","A high-end collection of luxury cybernetic punks with metallic assets.","images/27.svg","https://amormesbahi.github.io/luxury-punks-anim/html/27.html","https://amormesbahi.github.io/luxury-punks-anim/html/27.html","Aurora Borealis #28","Lime Orbit","Cosmic Galaxy","Sharp Angular Female","female","Floating Orbs","None","None","Dark Purple Lips","Gold Hoop","Bio-Luminescent Cord","None","Neon Dress","Puffer Vest","LEGENDARY: Infinity Loop","Oyster Professional","Thumb Up","Rapid Eye Twitch","Legendary"
"28","Legendary Punk #28","A high-end collection of luxury cybernetic punks with metallic assets.","images/28.svg","https://amormesbahi.github.io/luxury-punks-anim/html/28.html","https://amormesbahi.github.io/luxury-punks-anim/html/28.html","Midnight Sun #29","Lime Grid","Cosmic Galaxy","Sharp Angular Female","female","Solar Crown","LEGENDARY: Color-Shift Infinity (Animated)","None","None","Ruby Tear","Gold Bitcoin Coin","Silver Luxury Veil","Shadow Cloak","Neon Dress","LEGENDARY: Eternal Gear","Retro Digital Steel","Hand Shake","Static Punk","Legendary"
"29","Legendary Punk #29","A high-end collection of luxury cybernetic punks with metallic assets.","images/29.svg","https://amormesbahi.github.io/luxury-punks-anim/html/29.html","https://amormesbahi.github.io/luxury-punks-anim/html/29.html","Electric Blue #30","Orange Pulse","Cosmic Galaxy","Male Profile","male","Legendary Spiky Hair","LEGENDARY: Galactic Orbit Lens (Animated)","Chinstrap","None","None","Platinum Heavy Link","None","Brick Domino Rust","Holographic Tuxedo","LEGENDARY: Timeless Vault","Retro Digital Steel","Pointing Hand","Static Punk","Legendary"
"30","Legendary Punk #30","A high-end collection of luxury cybernetic punks with metallic assets.","images/30.svg","https://amormesbahi.github.io/luxury-punks-anim/html/30.html","https://amormesbahi.github.io/luxury-punks-anim/html/30.html","Hologram #31","Rose Matrix","Shadow Matter","Male Profile","male","Medusa Cables","LEGENDARY: Supernova Burst (Animated)","Shadow Beard","None","None","Onyx Collar","None","Tactical Jacket","Bronze Chainmail","LEGENDARY: Cryptic Dial","Luxury Gold Watch","Thumb Up","Scanning Cyber Laser","Legendary"
"31","Legendary Punk #31","A high-end collection of luxury cybernetic punks with metallic assets.","images/31.svg","https://amormesbahi.github.io/luxury-punks-anim/html/31.html","https://amormesbahi.github.io/luxury-punks-anim/html/31.html","Cyber Punk Night #32","Magenta Pulse","Neon Skeleton","Alien Female Profile","female","Digital Horns","LEGENDARY: Liquid Gold Drip (Animated)","None","Neon Cyan Lips","None","Pulsing Obsidian Disc","Amethyst Gem Guard","Spiked Jacket","Wavy Ships Deep Sea","LEGENDARY: Matrix Grid","Retro Digital Steel","Pointing Hand","Suspicious Squint","Legendary"
